"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/28/2019","AQS","060370002","2","48.8","ppb","45","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/29/2019","AQS","060370002","2","59.7","ppb","56","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/30/2019","AQS","060370002","2","31.7","ppb","29","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/31/2019","AQS","060370002","2","31.8","ppb","29","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/01/2019","AQS","060370002","2","30","ppb","28","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/02/2019","AQS","060370002","2","19.1","ppb","18","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/03/2019","AQS","060370002","2","10.1","ppb","9","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/04/2019","AQS","060370002","2","20.8","ppb","19","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/05/2019","AQS","060370002","2","17.2","ppb","16","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/06/2019","AQS","060370002","2","18.3","ppb","17","Azusa","22","92.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/07/2019","AQS","060370002","2","30.6","ppb","28","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/08/2019","AQS","060370002","2","30.2","ppb","28","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/09/2019","AQS","060370002","2","9.5","ppb","8","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/10/2019","AQS","060370002","2","11.6","ppb","10","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/11/2019","AQS","060370002","2","14.1","ppb","13","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/12/2019","AQS","060370002","2","26","ppb","25","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/13/2019","AQS","060370002","2","42.1","ppb","40","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/14/2019","AQS","060370002","2","14.9","ppb","13","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/15/2019","AQS","060370002","2","18","ppb","17","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/16/2019","AQS","060370002","2","11.9","ppb","10","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/17/2019","AQS","060370002","2","14","ppb","13","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/18/2019","AQS","060370002","2","21.7","ppb","20","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/19/2019","AQS","060370002","2","34.3","ppb","32","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/20/2019","AQS","060370002","2","24.8","ppb","23","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/21/2019","AQS","060370002","2","23.4","ppb","22","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/22/2019","AQS","060370002","2","26.6","ppb","25","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/23/2019","AQS","060370002","2","18.4","ppb","17","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/24/2019","AQS","060370002","2","23.1","ppb","22","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/25/2019","AQS","060370002","2","42","ppb","40","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/26/2019","AQS","060370002","2","39.1","ppb","37","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/27/2019","AQS","060370002","2","31.7","ppb","29","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/28/2019","AQS","060370002","2","29.6","ppb","27","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/01/2019","AQS","060370002","2","32.9","ppb","30","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/02/2019","AQS","060370002","2","33.8","ppb","31","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/03/2019","AQS","060370002","2","11.7","ppb","10","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/04/2019","AQS","060370002","2","18.8","ppb","17","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/05/2019","AQS","060370002","2","35.3","ppb","33","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/06/2019","AQS","060370002","2","15.5","ppb","14","Azusa","22","92.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/07/2019","AQS","060370002","2","23.5","ppb","22","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/08/2019","AQS","060370002","2","15.7","ppb","14","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/09/2019","AQS","060370002","2","10.7","ppb","9","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/10/2019","AQS","060370002","2","10.6","ppb","9","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/11/2019","AQS","060370002","2","23.8","ppb","22","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/12/2019","AQS","060370002","2","21.8","ppb","20","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/13/2019","AQS","060370002","2","17.5","ppb","16","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/14/2019","AQS","060370002","2","37.4","ppb","35","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/15/2019","AQS","060370002","2","38.8","ppb","36","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
