Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/29/2016,AQS,60370002,2,43.0,ppb,41,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
01/30/2016,AQS,60370002,2,31.7,ppb,29,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
01/31/2016,AQS,60370002,2,7.9,ppb,7,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/01/2016,AQS,60370002,2,22.7,ppb,21,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/02/2016,AQS,60370002,2,26.9,ppb,25,Azusa,22,92.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/03/2016,AQS,60370002,2,17.9,ppb,16,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/04/2016,AQS,60370002,2,19.8,ppb,18,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/06/2016,AQS,60370002,2,15.3,ppb,14,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/07/2016,AQS,60370002,2,4.3,ppb,4,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/08/2016,AQS,60370002,2,0.4,ppb,0,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/09/2016,AQS,60370002,2,29.2,ppb,27,Azusa,21,88.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/10/2016,AQS,60370002,2,58.8,ppb,55,Azusa,22,92.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/11/2016,AQS,60370002,2,74.2,ppb,72,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/12/2016,AQS,60370002,2,58.7,ppb,55,Azusa,18,75.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/13/2016,AQS,60370002,2,50.7,ppb,47,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/14/2016,AQS,60370002,2,41.1,ppb,39,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/15/2016,AQS,60370002,2,30.6,ppb,28,Azusa,22,92.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/16/2016,AQS,60370002,2,38.7,ppb,36,Azusa,18,75.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/17/2016,AQS,60370002,2,35.2,ppb,33,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
02/18/2016,AQS,60370002,2,28.9,ppb,26,Azusa,23,96.0,42602,Nitrogen dioxide (NO2),74,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
